Nombre de la revista,"Number of contribution
in magazine","Contributor
Last name / first name",Roles de los colaboradores ,Pseudonym / abbreviation used,Source of contributor data,Sex,País de origen,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,"Inicio
[aaaa-mm-dd] ","Término
[aaaa-mm-dd] ","Duración
[pasos de tiempo en días]","Type of contribution
[Género según investigador]",Género según la revista,Lengua,Dedicatoria,Libros reseñados,Traductor,Lengua original,No. páginas,Mención de viajeros ,"Adaptación / apropiación /
modificación / reinterpretación","Intermediarios en
las transferencias",Comentarios
La Gruta,205,"Castello, Carlos",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Las tres Cabezas (fragmento),17,28 November 1903,1903-11-28,1903-11-28,1903-12-05,7,Cuento,NA,NA,Para un album,,NA,,1,NA,NA,NA,
La Gruta,206,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,La escuela Nueva y José A. Silva,17,28 November 1903,1903-11-28,1903-11-28,1903-12-05,7,Crítica,conferencia,NA,NA,,NA,,8,NA,NA,NA,Conferencia le+ida por el autor en la Gruta. sw Zarathustra el 23 de febrero de 1901
La Gruta,207,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,17,28 November 1903,1903-11-28,1903-11-28,1903-12-05,7,No ficción,NA,NA,NA,,NA,,4,NA,NA,NA,
La Gruta,208,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,17,28 November 1903,1903-11-28,1903-11-28,1903-12-05,7,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,209,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,210,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,211,"Sánchez, Alberto",,,NA,M,Colombiano,NA,NA,NA,Rondó. L'anima  ride li amor suoi lontani,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,212,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,No ficción,NA,NA,NA,,NA,,11,NA,NA,NA,
La Gruta,213,"Bayona Posada, Jorge",,,https://www.diccionariodecolombia.expert/diccionario-enciclopedico/bayona-posada-jorge/,M,Colombiano,1888,1948,NA,Rondel,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,214,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,18,5 Dezember 1903,1903-12-05,1903-12-05,1903-12-14,9,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,215,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,216,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,217,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,¡Oh patria!,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,218,"Chaves, J.R.",,,NA,M,Colombiano,NA,NA,NA,Realidades,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,219,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,La semana,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,No ficción,NA,NA,NA,,NA,,5,NA,NA,NA,
La Gruta,220,"Escobar Roa, Rafael",,E. Barcos R,"Minchero Vilasaró, Angel: Diccionario universal de escritores. - San Sebastián : Ideas Hechos, 1957 ",M,Colombiano,NA,NA,NA,De literatura,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Carta,NA,NA,Casa de ustedes-Señores directore de LA GRUTA-E.L.C,,NA,,3,NA,NA,NA,
La Gruta,221,"Escobar Roa, Rafael",,E. Barcos R,"Minchero Vilasaró, Angel: Diccionario universal de escritores. - San Sebastián : Ideas Hechos, 1957 ",M,Colombiano,NA,NA,NA,Patria,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Poesía,NA,NA,"A los alumnos de Rosario y a los miembros de la sociedad ""Julio Arboleda""",,NA,,1,NA,NA,NA,
La Gruta,222,"Parma, Juan de",,,https://www.wikidata.org/wiki/Q1698771 ,M,NA,NA,NA,NA,De sociedad,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,No ficción,NA,NA,NA,,NA,,4,NA,NA,NA,
La Gruta,223,"Güell, Joaquín M.",,,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,NA,NA,NA,Estirpe,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf
La Gruta,224,"Güell, Joaquín M.",,,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,NA,NA,NA,Envio,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf
La Gruta,225,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,19,14 Dezember 1903,1903-12-14,1903-12-14,1903-12-21,7,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,226,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,227,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,228,"Acosta, Javier",,,NA,M,Colombiano,NA,NA,NA,Pedro Ignacio Escobar,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,No ficción,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,229,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,la prenda (Inédito),20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,cuento,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,230,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,Recuerdos felices. Fantasía,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,231,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,Convaleciente,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,232,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,Egoismo,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,A Luis de yunque,,NA,,2,NA,NA,NA,
La Gruta,233,"Mendès, Catulle ",,,https://es.wikipedia.org/wiki/Catulle_Mend%C3%A8s,M,Francés,1841,1909,NA,Castigo que recompensa,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,cuento,NA,NA,NA,,Gil Rosales,,2,NA,NA,NA,
La Gruta,234,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,En estudio,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,235,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,Diferencias,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,"Nora-no sé más que una cosa, y es, Torvaldo, que mis ideas son completamente distintas a las tuyas. Ibsen. Casa de muñecas"
La Gruta,236,"Escobar, Pedro Ignacio",,Gil Rosales,NA,M,Colombiano,NA,NA,NA,Hora triste ,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,237,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Celos de muerto,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Cuento,Cuento,NA,Para Eduardo Echeverría,,NA,,1,NA,NA,NA,
La Gruta,238,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Alejandro Vega,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,No ficción,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,239,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,20,21 Dezember 1903,1903-12-21,1903-12-21,1903-12-25,4,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,240,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,241,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,242,"Londoño, Víctor Manuel",director,,https://viaf.org/viaf/1360163570577016620003/ ,M,Colombiano,1876,1936,NA,Navidad,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,243,"Posada, Guillermo",,,"https://bibliotecadigital.univalle.edu.co/bitstream/handle/10893/3093/Rev.%20Poligramas,N.25,p.185-218.pdf?sequence=1",M,Colombiano,NA,NA,NA,Noël,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,244,"Sánchez, Alberto",,,NA,M,Colombiano,NA,NA,NA,Los ojos del niño (cuento de navidad),21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Cuento,Cuento,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,245,"Munro, Alick",,,NA,F,NA,NA,NA,NA,Un chelin por una vida (historia de navidad),21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,cuento,NA,NA,NA,,NA,,5,NA,NA,NA,"Versión de dama bogotana , para La Gruta"
La Gruta,246,"Guerrero, Rafael",,,NA,M,Colombiano,NA,NA,NA,La gloria,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,cuento,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,247,"Montes Del Valle, Agripina",,,https://es.wikipedia.org/wiki/Agripina_Montes_del_Valle,F,Colombiano,1844,1912,NA,Resurrección,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Poesía,NA,NA,A Ezequiel Gomez,,NA,,1,NA,NA,NA,
La Gruta,248,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,21,25 Dezember 1903,1903-12-25,1903-12-25,1904-01-16,22,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,249,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,250,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,251,"López, Ismael",,Cornelio Hispano,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,1880,1962,NA,Sonata,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,252,"Lleras A., Alfredo",,,https://babel.banrepcultural.org/digital/api/collection/p17054coll26/id/10036/download,M,Colombiano,NA,NA,NA,Antítesis,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://babel.banrepcultural.org/digital/api/collection/p17054coll26/id/10036/download
La Gruta,253,"Heredia Márquez, Francisco",,,http://diccionario.cedinci.org/de-heredia-francisco/,M,Colombiano,1889,1927,NA,Emociones de la guerra,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Crítica,NA,NA,NA,,NA,,4,NA,NA,NA,
La Gruta,254,"Rémy, François",,,https://books.google.com.co/books?id=xmna3X1t3c4C&pg=PA290&lpg=PA290&dq=Francois+R%C3%A9my+escritor&source=bl&ots=PHmocDJ4Ci&sig=ACfU3U2h6inNS1dU3rkQocNAOPWsEjOcMA&hl=es&sa=X&ved=2ahUKEwjgl-LSu4TzAhWfRzABHSLzDy4Q6AF6BAgMEAM#v=onepage&q=Francois%20R%C3%A9my%20escritor&f=false,M,Francés,NA,NA,NA,Celajes,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,cuento,NA,NA,NA,,NA,,2,NA,NA,NA,https://books.google.com.co/books?id=xmna3X1t3c4C&pg=PA290&lpg=PA290&dq=Francois+R%C3%A9my+escritor&source=bl&ots=PHmocDJ4Ci&sig=ACfU3U2h6inNS1dU3rkQocNAOPWsEjOcMA&hl=es&sa=X&ved=2ahUKEwjgl-LSu4TzAhWfRzABHSLzDy4Q6AF6BAgMEAM#v=onepage&q=Francois%20R%C3%A9my%20escritor&f=false
La Gruta,255,"Rozo Martínez, Darío ",,,https://www.accefyn.com/sp/academicos/Silla_12_Dario_Rozo_Martinez.htm,M,Colombiano,1881,1964,NA,Un tesoro,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Crónica,NA,NA,Para La Gruta,,NA,,6,NA,NA,NA,
La Gruta,256,"Valencia, Francisco",,Pacho Valencia,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Movimiento,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma
La Gruta,257,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,22,16 Januar 1904,1904-01-16,1904-01-16,1904-02-08,23,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,258,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,259,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,260,"Villafañe, Carlos",,,https://www.ecured.cu/Carlos_Mar%C3%ADa_Villafa%C3%B1e,M,Colombiano,1881,1959,NA,Para ti sola,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,261,"Paillié, Francisco A.",,,NA,M,Colombiano,NA,NA,NA,Némesis,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=publisher_see&id=2764&page=1&nbr_lignes=17&l_typdoc=a&nb_per_page_custom=17
La Gruta,262,"Valencia, Francisco",,Pacho Valencia,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Por la pampa,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma
La Gruta,263,Floralba,,Floralba,NA,F,Colombiano,NA,NA,NA,Confidencias,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,cuento,NA,NA,NA,,NA,,8,NA,NA,NA,
La Gruta,264,"Castello, Carlos",,,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,NA,NA,NA,Mancha Feliz,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Poesía,NA,NA,Para Joaquín Güel,,NA,,1,NA,NA,NA,
La Gruta,265,"Echeverría, Marcelino",,,NA,M,NA,NA,NA,NA,El primer novio,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,266,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,De sociedad,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,No ficción,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,267,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,23,8 Februar 1904,1904-02-08,1904-02-08,1904-02-27,19,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,268,Anónimo,,,NA,M,NA,NA,NA,NA,Anuncios,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,269,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,Banco Número 1,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Anuncio,NA,NA,NA,,NA,,sp,NA,NA,NA,
La Gruta,270,"Flórez, Julio",,,https://es.wikipedia.org/wiki/Julio_Fl%C3%B3rez,M,Colombiano,1867,1923,NA,Ante el cadáver de Alejandro Vega,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,271,"Sanín Cano, Baldomero",,,https://es.wikipedia.org/wiki/Baldomero_San%C3%ADn_Cano,M,Colombiano,1861,1957,NA,Alejandro Vega,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Obituario,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,272,"Soto Borda, Clímaco",,,https://es.wikipedia.org/wiki/Cl%C3%ADmaco_Soto_Borda,M,Colombiano,1870,1919,NA,Alejandro Vega,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Obituario,NA,NA,NA,,NA,,7,NA,NA,NA,
La Gruta,273,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,Copa eterna,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,274,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,Almibar,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Prólogo,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,275,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,Julio de Francisco,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Obituario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,276,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,La estatua,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Poesía,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,277,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,Seguidillas,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Poesía,NA,NA,NA,,NA,,1,NA,NA,NA,
La Gruta,278,"Vega, Alejandro",,,NA,M,Colombiano,NA,NA,NA,Thanatos,24-25,27 febrebro 1904,1904-02-27,1904-03-14,1904-09-15,185,revisar el género,NA,NA,NA,,NA,,3,NA,NA,NA,
La Gruta,279,"Quijano, Arturo A.",,,https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=author_see&id=6833,M,Colombiano,1878,1935,NA,Alejandro Vega,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Obituario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,280,"Espinosa Guzmán, Rafael",director,REG,https://www.banrepcultural.org/biblioteca-virtual/credencial-historia/numero-216/la-gruta-simbolica-una-anecdota-en-si-misma,M,Colombiano,1858,NA,NA,Jose Angel Porras,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Obituario,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,281,"Escobar, F.S.",,,NA,M,Colombiano,NA,NA,NA,Cantar,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,Poesía,NA,NA,A Eduardo Echeverria,,NA,,4,NA,NA,NA,
La Gruta,282,"Rivas Frade, Fedérico",director,,"https://www.ecured.cu/Federico_Rivas_Frade#:~:text=Fue%20conocido%20especialmente%20por%20sus,primer%20diario%20liberal%20de%20Bogot%C3%A1.",M,Colombiano,1856,1922,NA,"""La Gruta""",24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,No ficción,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,283,"Güell, Joaquín M.",,,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombiano,NA,NA,NA,Caso de gatos,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,cuento,NA,NA,NA,,NA,,2,NA,NA,NA,
La Gruta,284,Anónimo,,,NA,M,NA,NA,NA,NA,Índice,24-25,27 Februar 1904,1904-02-27,1904-03-14,1904-09-15,185,índice,índice,NA,NA,,NA,,4,NA,NA,NA,
Lectura Amena,1,"Tejada Córdoba, B.",,,NA,M,Colombia,NA,NA,NA,Juegos florales,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Ensayo,,NA,Para Lectura Amena,,NA,,3,NA,NA,NA,
Lectura Amena,2,"Cano, Antonio José ",,,https://1library.co/article/antonio-cano-tres-personajes-fundamentales-cano-pel%C3%A1ez-isaza.yr2dxopz,M,Colombia,1874,1942,NA,Soñada…,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Poema,,NA,NA,,NA,,2,NA,NA,NA,
Lectura Amena,3,"Dicenta, Joaquín",,,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Dicenta,M,España,1862,1917,NA,La corona de Zorilla,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Nota crítica,,NA,NA,,NA,,2,NA,NA,NA,
Lectura Amena,4,"Gautier, Théophile ",,,https://es.wikipedia.org/wiki/Th%C3%A9ophile_Gautier,M,Francia,1811,1872,NA,"La ""Gioconda"" de Leonardo da Vinci",1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Ensayo,,NA,NA,,NA,,2,NA,NA,NA,
Lectura Amena,5,"Darío, Rubén",,,https://es.wikipedia.org/wiki/Rub%C3%A9n_Dar%C3%ADo,M,Nicaragüa,1867,1916,NA,Filtración,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Poema,,NA,NA,,NA,,2,NA,NA,NA,
Lectura Amena,6,Anónimo,,,NA,M,NA,NA,NA,NA,Rochefort poeta religioso,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,comentario,,NA,NA,,NA,,1,NA,NA,NA,"En este texto viene un comentario sobre el autor, y luego traen un poema en la lengua original y posteriormente su traducción. Hemos puesto por separado el comentario y el poema-."
Lectura Amena,7,"Rochefort, Henri ",,,https://es.wikipedia.org/wiki/Henri_Rochefort,M,Francia,1830,1913,NA,"Soneto a María, beaucoup plus de souci que d'or",1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Poema,,NA,NA,,NA,Francés,2,NA,NA,NA,
Lectura Amena,8,"Gerin, Gabriel",,,https://viaf.org/viaf/248404249/,M,Francia,1848,1934,NA,La invitación del doctor,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Cuento,,NA,NA,,F. Martínez Rivas,,4,NA,NA,NA,
Lectura Amena,9,"Restrepo, Saturnino",,,https://cvc.cervantes.es/lengua/thesaurus/pdf/13/TH_13_123_120_0.pdf,M,Colombia,NA,NA,NA,Amado Nervo,1,15 de September de 1904,1904-09-15,1904-10-15,1904-10-15,0,Crítica,,NA,Para Lectura Amena,,NA,,10,NA,NA,NA,
