"Autor de la contribución
Apellido, Nombre",Fuente de datos,Seudónimo,Sexo,País de origen,Año de nacimiento del colaborador,Año de muerte del colaborador,GND_ID,Wikidata_ID,Colaboradores_GND,Sexo o género_GND,Fecha de nacimiento_GND,Fecha de fallecimiento_GND,Lugar de nacimiento GND,País de origen GND,Colaboradores_Wikidata,sexo o género_Wikidata,Lugar de nacimiento_Wikidata,País de origen_Wikidata,Fecha de nacimiento_Wikidata,Fecha de fallecimiento_Wikidata,Colaborador_VIAF,Link_VIAF,,
"Chams Heljach, Olga",https://d-nb.info/gnd/12248519X,"Delmar, Meira",F,Colombia,1922,2009,12248519X,Q3254529,"Delmar, Meira",Unbekannt,1922-04-21,2009-03-18,Barranquilla (Atlántico),Kolumbien,Meira Delmar,female,Barranquilla,Colombia,1922-04-21T00:00:00Z,2009-03-18T00:00:00Z,"Chams Heljach, Olga",http://viaf.org/viaf/45860367,,
"Charry Lara, Fernando",https://www.wikidata.org/wiki/Q5859381,,M,Colombia,1920,2004,136787045,Q5859381,"Charry Lara, Fernando",Unbekannt,1920,2004,Bogotá,Kolumbien,Fernandei cherrey larei,male,Bucaramanga,Colombia,1920-09-14T00:00:00Z,2004-07-22T00:00:00Z,"Charry Lara, Fernando",http://viaf.org/viaf/81073360,81073360,
"Chaves Torres, José María",Ospina; Otero Muñoz; Laverde 3; Sánchez: Diccionario; Echavarria,,M,Colombia,1886,1915,,,"Chaves Torres, José María",,,,,,"Chaves Torres, José María",,,,,,"Chaves Torres, José María",http://viaf.org/viaf/118489376,118489376,
"Chaves Villa, Humberto",Gallo Martínez,,M,Colombia,1891,1971,,,,,,,,,,,,,,,"Chaves Villa, Humberto",,,
"Chénier, André",https://es.wikipedia.org/wiki/Andr%C3%A9_Ch%C3%A9nier,,M,Francia,1762,1794,118520326,Q295548,"Chénier, André",Unbekannt,1762,1794,,,André Chénier,male,Istanbul,Turkey,1762-10-30,1794-07-25,"Chénier, André",http://viaf.org/viaf/39404970,,
"Chica, Antonio María",Sánchez: Diccionario Autores Antioqueños,Antonio Marchán,M,Colombia,1922,,,,,,,,,,,,,,,,,,,
"Claretie, Jules",https://d-nb.info/gnd/119069830,,M,Francia,1840,1913,119069830,Q912271,,,,,,,,,,,,,,http://viaf.org/viaf/95172612,95172612,
"Claussen, Sophus",https://www.wikidata.org/wiki/Q24494,,M,Denmark,1865,1931,118669494,Q24494,"Claussen, Sophus",Männlich,1865-09-12,1931-04-11,,,Sophus Claussen,male,Langeland,Denmark,1865-09-12,1931-04-11,"Claussen, Sophus",http://viaf.org/viaf/7403906,7403906,
"Cobban, J. MacLaren",https://www.wikidata.org/wiki/Q52150174,,M,Reino Unido,1849,1903,,Q52150174,"Cobban, J. MacLaren",,,,,,James Maclaren Cobban,male,,Kingdom of Scotland,1849-04-24,1903-10-31,"Cobban, J. Maclaren (James Maclaren), 1849-1903",http://viaf.org/viaf/8829031,8829031,
"Cock Arango, Alfredo",https://d-nb.info/gnd/1118882245,,M,Colombia,1894,1965,1118882245,,"Cock Arango, Alfredo",Unbekannt,1894,1965,,,"COCK ARANGO, ALFREDO",,,,,,"Cock Arango, Alfredo, 1894-1965",http://viaf.org/viaf/38928926,38928926,
"Cock Hincapié, Olga",https://d-nb.info/gnd/1056371382,,M,Colombia,,,1056371382,,"Cock Hincapié, Olga",Unbekannt,,,,,"COCK HINCAPIE, OLGA",,,,,,"Cock Hincapié, Olga.",http://viaf.org/viaf/39505892,39505892,
Comandante de Civrieux,https://viaf.org/viaf/249759167,,M,Francia,1859,1941,,,,,,,,,,,,,,,,http://viaf.org/viaf/249759167,249759167,
"Combariza Martínez, José Vicente",WW Latin America 1; QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1900,1967,,,"Mar, José",,,,,,"Combariza Martínez, José Vicente",,,,,,"Mar, José 1900-1967",http://viaf.org/viaf/1574617,1574617,
"Conto, César",https://www.wikidata.org/wiki/Q5796196,,M,Colombia,1836,1892,,Q5796196,"Conto, César",,,,,,César Conto Ferrer,male,Quibdó,Colombia,1836-01-18T00:00:00Z,1892-06-30T00:00:00Z,"Conto, César",http://viaf.org/viaf/34001274,34001274,
"Cooke, John Esten",https://www.wikidata.org/wiki/Q4245664,,M,Estados Unidos,1830,1886,,Q4245664,,,,,,,,,,,,,,,,
"Coppée, François",http://viaf.org/viaf/46759181,,M,Francia,1842,1908,,,,,,,,,,,,,,,,,,
"Cordoba Romero, Guillermo",QeQ Ven.; Sánchez: Diccionario; Echavarria,,M,Colombia,1893,,,,"Cordoba Romero, Guillermo",,,,,,"Cordoba Romero, Guillermo",,,,,,"Córdoba Romero, Guillermo",http://viaf.org/viaf/19251035,19251035,
"Coronel, Juan",Figueroa 5; Laverde 3; Sánchez: Diccionario; Avila A.,,M,Colombia; Chile,1868,1904,,,"Coronel, Juan",,,,,,"Coronel, Juan",,,,,,"Coronel, Juan",,,
"Corral, Jesús del",https://d-nb.info/gnd/133624498;,Fray Trabuco,M,Colombia,1871,1931,133624498,Q106596335,"Corral, Jesús del",Unbekannt,1871-06-14,1931-06-24,Antioquia,Kolumbien,Jesús del Corral Botero,male,,,,,"Corral, Jesús del (1871-1931).",http://viaf.org/viaf/28266149,28266149,
"Corral, Rafael del",https://www.wikidata.org/wiki/Q106596311,,M,Colombia,1872,1946,1221066048,Q106596311,"Corral, Rafael del",Unbekannt,1872-04-03,,Antioquia,Kolumbien,Rafael del Corral,male,,,1872-04-03T00:00:00Z,1946-08-03T00:00:00Z,"Corral, Rafael del",http://viaf.org/viaf/5049160546924810240002,5049160546924810000000,
"Correa Bernal, Alfonso",https://www.wikidata.org/wiki/Q94639250,,M,Colombia,1913,,,Q94639250,"CORREA BERNAL, ALFONSO",,,,,,Alfonso Correa Bernal,,,,1913-01-01T00:00:00Z,,"Correa Bernal, Alfonso, 1913-",http://viaf.org/viaf/33641986,33641986,
"Correa Machado, Bernardo",Gallo Martínez,,M,Colombia,1903,1991,,,,,,,,,,,,,,,"Correa Machado, Bernardo",,,
"Correa Mejía, Ramón",https://www.wikidata.org/wiki/Q104764615; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1859,1935,,Q104764615,"CORREA MEJÍA, RAMON",,,,,,Ramón Correa Mejía,male,,,,,"CORREA MEJÍA, RAMON",,,
"Correa Ortiz, Luis Eduardo",https://d-nb.info/gnd/1056532599,,M,Colombia,,,1056532599,,"Correa Ortiz, Luis Eduardo",Unbekannt,,,,,"CORREA ORTIZ, EDUARDO",,,,,,"Correa Ortiz, Luis Eduardo",http://viaf.org/viaf/309766367,309766367,
"Correa Palacio, Rodrigo",https://www.wikidata.org/wiki/Q6110656,,M,Colombia,1923,1996,,Q6110656,"Correa Palacio, Rodrigo",,,,,,Rodrigo Correa Palacio,male,,,1923-06-14T00:00:00Z,1996-01-21T00:00:00Z,"Correa Palacio, Rodrigo 1923-1996",http://viaf.org/viaf/5069162844764773240006,"5,06916E+21",
"Correa Restrepo, Flavio",Gallo Martínez,Flacor,M,Colombia,,,,,,,,,,,,,,,,,"Correa Restrepo, Flavio",http://viaf.org/viaf/58335125,58335125,
"Correa, Ramón",Ospina; Sánchez: Diccionario,,M,Colombia,1896,1975,1056785705,,"Correa, Ramón",Unbekannt,,,,,"Correa, Ramón",,,,,,"Correa, Ramón",,,
"Cote Lamus, Eduardo",https://www.wikidata.org/wiki/Q5340573,,M,Colombia,1928,1964,138152365,Q5340573,"Cote Lamus, Eduardo",Unbekannt,1928,1964,,,Eduardo Cote Lamus,male,Pamplona,Colombia,1928-08-18T00:00:00Z,1964-08-03T00:00:00Z,"Cote Lamus, Eduardo",http://viaf.org/viaf/88066200,88066200,
"Crespo, José Manuel",https://www.wikidata.org/wiki/Q100758919,,M,Colombia,1942,,105764594X,Q100758919,"Crespo, José Manuel",Unbekannt,1942,,,,José Manuel Crespo,male,Ciénaga,Colombia,1942-05-29T00:00:00Z,,"Crespo, José Manuel",,,
"Cruz, Jesús Antonio",https://www.wikidata.org/wiki/Q94628992,"Pomala, Martín",M,Colombia,1884,1951,,Q94628992,"Pomala, Martín",,,,,,Martín Pomala,,,,1884-01-01T00:00:00Z,1951-01-01T00:00:00Z,"Pomala, Martín",,,
"Cubides J., Gabriel",Ospina; Sánchez: Diccionario,,M,Colombia,1862,1920,,,"Cubides J., Gabriel",,,,,,"Cubides J., Gabriel",,,,,,"Cubides J., Gabriel",,,
"Cuervo Márquez, Carlos",https://d-nb.info/gnd/1056269200,,M,Colombia,1858,1930,1056269200,Q109855072,"Cuervo Márquez, Carlos",Unbekannt,1858,1930,Bogotá,Kolumbien,Carlos Cuervo Márquez,male,,,1858-01-01,1930-01-01,"Cuervo Márquez, Carlos",http://viaf.org/viaf/75220602,75220602,
"Cuervo Márquez, Emilio",https://d-nb.info/gnd/1057047376,,M,Colombia,1873,1937,1057047376,,"Cuervo Márquez, Emilio",Unbekannt,1873-10-03,1937-08-15,Bogotá,Kolumbien,"Cuervo Márquez, Emilio",,,,,,"Cuervo Márquez, Emilio, 1873-1937",http://viaf.org/viaf/41383539,41383539,
"Cuervo Pineda, Juan",https://d-nb.info/gnd/1056690593,,M,Colombia,1927,,1056690593,,"Cuervo Pineda, Juan",Unbekannt,1927,,,,"CUERVO PINEDA, JUAN",,,,,,"Cuervo Pineda, Juan 1927-",http://viaf.org/viaf/309780437,309780437,
"Cuervo, Ángel",https://www.wikidata.org/wiki/Q55999024,,M,,1838,1896,128650052,Q55999024,"Cuervo, Ángel",Unbekannt,1838,1896,,,Angel Cuervo,male,,,1838-01-01T00:00:00Z,1896-01-01T00:00:00Z,"Cuervo, Ángel",http://viaf.org/viaf/59150420,59150420,
"Cuervo, Luis Augusto","https://viaf.org/viaf/2379972/#Cuervo,_Luis_Augusto,_1893-1954",,M,Colombia,1893,1954,,,,,,,,,,,,,,,,,,
"Cuervo, Rufino José",https://es.wikipedia.org/wiki/Rufino_Jos%C3%A9_Cuervo,,M,Colombia,1844,1911,118670670,Q1247089,"Cuervo, Rufino José",Männlich,1844,1911,,,Rufino José Cuervo Urisarri,male,Bogotá,Colombia,1844-09-19,1911-07-17,"Cuervo, Rufino José",http://viaf.org/viaf/71403202,,
"D'Annunzio, Gabriele",http://viaf.org/viaf/49220129,,M,Kingdom of Italy,1863,1938,118503243,Q193236,"D'Annunzio, Gabriele",Männlich,1863-03-12,1938-03-01,Pescara,Italien,Gabriele D'Annunzio,male,Pescara,Italy,1863-03-12,1938-03-01,"D'Annunzio, Gabriele",http://viaf.org/viaf/49220129,,
"D'Avenel, Vizconde",Oursel; Vapereau; Lorenz,,M,Francia,1855,,,,"D'Avenel, Vizconde",,,,,,"D'Avenel, Vizconde",,,,,,"D'Avenel, Vizconde",,,
"D'Enjoÿ, Paul",https://viaf.org/viaf/189460141/,,M,Francia,1866,,,,"D'Enjoy, Paul",,,,,,"D'Enjoy, Paul",,,,,,"Enjoy¨, Paul d' 1866-19..",https://viaf.org/viaf/189460141/,,
"d'Ors, Eugenio",https://es.wikipedia.org/wiki/Eugenio_d%27Ors,,M,España,1881,1954,118787225,Q930679,"Ors, Eugenio d'",Unbekannt,1881-09-28,1954-09-25,Barcelona,Spanien,Eugeni d'Ors,male,Barcelona,España,1881-09-18,1954-09-26,"Ors, Eugenio d', 1882-1954",https://viaf.org/viaf/59077528/,,
"Darío, Rubén",https://es.wikipedia.org/wiki/Rub%C3%A9n_Dar%C3%ADo,,M,Nicaragua,1867,1916,118671022,Q173767,"Darío, Rubén",Männlich,1867-01-18,1916-02-06,,,Rubén Darío,male,Ciudad Darío,Nicaragua,1867-01-18,1916-02-06,"Darío, Rubén",http://viaf.org/viaf/7399994,,
"Daudet, Alphonse",https://es.wikipedia.org/wiki/Alphonse_Daudet,,M,Francia,1840,1897,118523872,Q228546,"Daudet, Alphonse",Männlich,1840-05-13,1897-12-16,Nîmes,Frankreich,Alphonse Daudet,male,Nîmes,France,1840-05-13,1897-12-16,"Daudet, Alphonse, 1840-1897.",https://viaf.org/viaf/4928621/,,
"Davray, Henry-D.",http://viaf.org/viaf/119425672,,M,Francia,1873,1944,127819304,Q3784923,"Davray, Henry D.",Unbekannt,1873,1944-01-21,Bricquebec,Frankreich,Henry Davray,male,Gennevilliers,France,1873-01-01,1944-01-21,"Davray, Henry-D.",http://viaf.org/viaf/119425672,,
"De Greiff, Jorge",https://d-nb.info/gnd/1204137463,,M,Colombia,1893,1972,1204137463,,"De Greiff, Jorge",Unbekannt,1893,1972,Medellin,Kolumbien,"GREIFF URIBE, JORGE DE",,,,,,"GREIFF URIBE, JORGE DE",,,
"de la Cruz, Jorge","Ricardo Rendón, 400 personajes en la pluma de Rendón, Santafé de Bogotá 1994; QeQ Venezuela",,M,Colombia,1904,1952,,,,,,,,,,,,,,,,,,
"de la Rosa, Leopoldo",https://d-nb.info/gnd/1191138380,,M,Colombia,1888,1964,1191138380,,"Rosa, Leopoldo de la",Unbekannt,1888,1964,Barranquilla,Kolumbien,"Rosa, Leopoldo de la",,,,,,"Rosa, Leopoldo de la",http://viaf.org/viaf/93338150,,
"de Parville, Henry",https://d-nb.info/gnd/117686875,,M,Francia,1838,1909,117686875,Q3132350,"Parville, François Henri de",Männlich,1838-01-27,1909-07-11,Évreux,Frankreich,"De Parville, Henry",male,Évreux,France,1838-01-27,1909-07-11,"De Parville, Henry",http://viaf.org/viaf/36922846,36922846,
"de Pombo, Lino",https://www.wikidata.org/wiki/Q5976803,,M,Colombia,1797,1862,143653091,Q5976803,"Pombo O'Donnell, Lino de",Unbekannt,1797,1862,,,Lino de Pombo,male,Cartagena de Indias,Colombia,1797-01-07,1862-11-20,"De Pombo, Lino",http://viaf.org/viaf/40886237,40886237,
"Delgado, Jorge E.",Ospina;,,M,Colombia,1868,1924,,,"Delgado, Jorge E.",,,,,,"Delgado, Jorge E.",,,,,,"Delgado, Jorge E.",,,
"Delgado, Luis Alfonso",Ospina; QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1900,,,,"Delgado, Luis Alfonso",,,,,,"Delgado, Luis Alfonso",,,,,,"Delgado, Luis Alfonso",,,
"Delgado, Oscar",https://www.wikidata.org/wiki/Q47538415,,M,Colombia,1910,1937,1056762225,Q47538415,"Delgado Sánchez, Oscar",Unbekannt,,,,,Óscar Delgado,male,Santa Ana,Colombia,1910-06-06T00:00:00Z,1937-04-11T00:00:00Z,"Delgado, Óscar",http://viaf.org/viaf/45639614,45639614,
"Deslys, Charles",https://www.wikidata.org/wiki/Q1064093,,M,Francia,1821,1885,,Q1064093,,,,,,,,,,,,,,,,
"Desroix, Jacques","https://viaf.org/viaf/202241285/#Desroix,_Jacques",,M,Francia,,,,,"Desroix, Jacques",,,,,,"Desroix, Jacques",,,,,,"Desroix, Jacques",http://viaf.org/viaf/202241285,,
"Déubel, Leon",https://www.wikidata.org/wiki/Q1121416,,M,Francia,1879,1913,,Q1121416,"Déubel, Leon",,,,,,Léon Deubel,male,Belfort,France,1879-03-22,1913-06-12,"Deubel, Léon, 1879-1913",http://viaf.org/viaf/9845487,9845487,
"Díaz García, Antonio",https://www.wikidata.org/wiki/Q86219633,,M,Colombia,1925,2005,,Q86219633,"DIAZ GARCIA, ANTONIO",,,,,,Antonio Díaz García,male,,,1925-07-26T00:00:00Z,2005-09-14T00:00:00Z,"DIAZ GARCIA, ANTONIO",,,
"Díaz Granados, José Luis",https://www.wikidata.org/wiki/Q94541479,,M,Colombia,1946,,1030143749,Q94541479,"Díaz Granados, José Luis",Unbekannt,1946,,,,José Luis Díaz Granados,male,Santa Marta,Colombia,1946-01-01T00:00:00Z,,"Díaz Granados, José Luis",,,
"Díaz Guerra, Alirio",https://d-nb.info/gnd/1056400102,,,,1862,1940,1056400102,,"Díaz Guerra, Alirio",Unbekannt,1862,1940,,,"Díaz Guerra, Alirio",,,,,,"Díaz Guerra, Alirio",http://viaf.org/viaf/75081467,75081467,
"Díaz Lemos, Ángel María",Ospina; Otero Muñoz; Sánchez: Diccionario,,M,Colombia,1853,1939,,,,,,,,,,,,,,,,,,
"Díaz Martínez, Antolín",http://viaf.org/viaf/28548456,,,,1939,,1056302372,,"Díaz Martínez, Antolín",Unbekannt,,,,,"Díaz Martínez, Antolín",,,,,,"Díaz Martínez, Antolín",http://viaf.org/viaf/28548456,28548456,
"Díaz, Leopoldo",https://es.wikipedia.org/wiki/Leopoldo_D%C3%ADaz,,M,Argentina,1862,1947,1078699208,Q16270880,"Díaz, Leopoldo",Unbekannt,1862,1947,Chivilcoy,Argentinien,Leopoldo Díaz,male,Chivilcoy,Argentina,1862-01-01,1947-01-01,"Díaz, Leopoldo",http://viaf.org/viaf/61584602,,
"Díaz, Pedro Pablo",Rojas; Diccionario General,,M,Venezuela,1784,1856,,,"Díaz, Pedro Pablo",,,,,,Pedro Pablo Díaz,,,,,,"Díaz, Pedro Pablo",,,
"Dicenta, Joaquín",https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Dicenta,,M,España,1862,1917,1057225231,Q2450746,"Dicenta, Joaquín",Männlich,1862,1917,Calatayud,Spanien,Joaquín Dicenta,male,Calatayud,España,1862-02-03,1917-02-21,"Dicenta, Joaquín",http://viaf.org/viaf/68949187,,
"Díez-Canedo, Enrique",http://viaf.org/viaf/59091986,,M,España,1879,1944,,,,,,,,,,,,,,,,,,
"Domínguez Camargo, Hernando",https://d-nb.info/gnd/1048017990,,,Colombia,1606,1659,1048017990,,"Domínguez Camargo, Hernando",Unbekannt,1606,1659,Bogotá,Kolumbien,"Domínguez Camargo, Hernando",,,,,,"Domínguez Camargo, Hernando",http://viaf.org/viaf/18749054,18749054,
"Domínguez, Franklin",https://www.wikidata.org/wiki/Q5868594,,M,Colombia,1931,,,Q5868594,"DOMINGUEZ, FRANKLIN",,,,,,Franklin Domínguez,male,Santiago de los Caballeros,Dominican Republic,1931-06-05T00:00:00Z,,"Domínguez, Franklin 1931-",http://viaf.org/viaf/45624825,45624825,
"Duarte French, Alberto",QeQ Ven.; Minchero; Sánchez: Diccionario,,M,Colombia,1918,,,,"Duarte French, Alberto",,,,,,"Duarte French, Alberto",,,,,,"Duarte French, Alberto",,,
"Duque Bernal, Augusto",Gallo Martínez,,M,Colombia,1896,1935,,,,,,,,,,,,,,,"Duque Bernal, Augusto",,,
"Duque de Valdés, Nelly",https://d-nb.info/gnd/115877785X,,F,Colombia,,,115877785X,,"Duque de Valdés, Nelly",Unbekannt,,,,,"DUQUE DE VALDES, NELLY",,,,,,"Duque de Valdés, Nelly",http://viaf.org/viaf/331152636060820051129,331152636060820000000,
"Duque Gómez, Luis",https://www.wikidata.org/wiki/Q5983197,,M,Colombia,1916,2000,,Q5983197,"Duque Gómez, Luis",,,,,,Luis Duque Gómez,male,Marinilla,Colombia,1916-04-20T00:00:00Z,2000-12-27T00:00:00Z,"Duque Gómez, Luis",http://viaf.org/viaf/36917635,36917635,
"Duque Uribe, Rafael",Sánchez: Diccionario,,M,Colombia,,1862,,,,,,,,,,,,,,,,,,
"Duque, Antonio de J.",Sánchez: Diccionario,,M,Colombia,,,,,"Duque, Antonio",,,,,,"Duque, Antonio J.",,,,,,"Duque, Antonio J.",,,
"Eastman, Maria",https://viaf.org/viaf/75487712; Ospina; Minchero; Sánchez: Diccionario,,F,Colombia,1901,1947,,,,,,,,,,,,,,,,http://viaf.org/viaf/75487712,75487712,
"Eastman, Tomás O",https://www.wikidata.org/wiki/Q27105794,,M,Colombia,1865,1931,1055472878,Q27105794,"Eastman, Tomás O.",Unbekannt,1865,1931,,,Tomás O. Eastman,male,Marmato,Colombia,1865-10-06,1931-04-23,"Eastman, Tomás O",http://viaf.org/viaf/301839474,301839474,
"Eça De Queiroz, José Maria",https://www.wikidata.org/wiki/Q316327,,M,Portugal,1845,1900,102050945,Q316327,"Queiroz Velloso, José Maria de",Unbekannt,1860,1952,,,José Maria de Eça de Queiroz,male,Póvoa de Varzim,Portugal,1845-11-25,1900-08-16,"Queiroz, José Maria d'Eça de",http://viaf.org/viaf/76013715,76013715,
"Echagüe, Francisco",https://viaf.org/viaf/87020044/,,M,España,1860,1924,1159055327,Q8962340,"Echagüe y Nogueira, Francisco",,,,,,Francisco Echagüe,male,Alfaro,España,1860-01-15,1924-03-13,"Echagüe, Francisco 1860-1924",https://viaf.org/viaf/87020044/,,
"Echavarría Barrientos, Raúl",https://www.wikidata.org/wiki/Q106512162; Sánchez: Diccionario,,M,Colombia,1923,1986,,Q106512162,"Echavarría Barrientos, Raúl",,,,,,Raúl Echavarría Barrientos,male,,,,1986-09-17T00:00:00Z,"Echavarría Barrientos, Raúl",,,
"Echavarría M., Guillermo",https://d-nb.info/gnd/1224495012,,M,Colombia,1888,1985,1224495012,,"Echavarría M., Guillermo",Unbekannt,1888,1985,Medellin,Kolumbien,"ECHAVARRIA M., GUILLERMO",,,,,,"Echavarría M., Guillermo 1888-1985",http://viaf.org/viaf/8089161030936823920004,8089161030936820000000,
"Echavarría Olózaga, Hernán",https://www.wikidata.org/wiki/Q5896130,,M,Colombia,1911,2006,171153359,Q5896130,"Echavarría Olózaga, Hernán",Unbekannt,,,,,Hernán Echavarría Olózoga,male,Medellín,Colombia,1911-04-07T00:00:00Z,2006-02-21T00:00:00Z,"Echavarría Olózaga, Hernán",http://viaf.org/viaf/22267900,22267900,
"Echavarría Vélez, Liborio",Ospina,,M,Colombia,1848,1888,,,,,,,,,,,,,,,,,,
"Echavarría, Enrique",http://viaf.org/viaf/310555828; Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1875,1958,,,"ECHAVARRIA, ENRIQUE",,,,,,"ECHAVARRIA, ENRIQUE",,,,,,"Echavarría, Enrique 1875-1958",http://viaf.org/viaf/310555828,310555828,
"Echavarría, Rogelio",https://www.wikidata.org/wiki/Q6110945,,M,Colombia,1926,2017,1056413263,Q6110945,"Echavarría, Rogelio",Unbekannt,1926,2017,,,Rogelio Echavarría Múnera,male,Santa Rosa de Osos,Colombia,1926-03-27T00:00:00Z,2017-11-29T00:00:00Z,"Echavarría, Rogelio",http://viaf.org/viaf/61589031,61589031,
"Echeverri Abad, Luis Guillermo",https://www.wikidata.org/wiki/Q110270925,,M,Colombia,1908,1963,,Q110270925,"ECHEVERRI ABAD, LUIS GUILLERMO",,,,,,Luis Guillermo Echeverri Abad,male,,,,,"Echeverri Abad, Luis Guillermo, 1908-1963",http://viaf.org/viaf/39170067,39170067,
"Echeverri M., Aquiles",https://d-nb.info/gnd/1056705531,,M,Colombia,1918,,1056705531,,"Echeverri M., Aquiles",Unbekannt,1918,,,,"ECHEVERRI M., AQUILES",,,,,,"Echeverri M., Aquiles 1918-",http://viaf.org/viaf/9096160667649903560008,9096160667649900000000,
"Echeverri Mejía, Arturo",https://www.wikidata.org/wiki/Q112510339,,M,Colombia,1918,1964,1056628928,Q112510339,"Echeverri Mejía, Arturo",Unbekannt,1918,1964,,,Arturo Echeverri Mejía,male,,,1919-01-01T00:00:00Z,1964-01-01T00:00:00Z,"Echeverri Mejía, Arturo 1918-1964",http://viaf.org/viaf/77675162,77675162,
"Echeverri Mejía, Oscar",https://d-nb.info/gnd/1089136730,,,,1918,,1089136730,,"Echeverri Mejía, Oscar",Unbekannt,1918,,,,"Echeverri Mejía, Oscar",,,,,,"Echeverri Mejía, Oscar",http://viaf.org/viaf/21000380,21000380,
"Echeverri Uribe, Carlos",Ospina; Sánchez: Diccionario,,M,Colombia,1862,1927,105723902X,Q110290062,"Echeverri Uribe, Carlos",Unbekannt,,,,,Carlos Uribe Echeverri,male,,,,,"Echeverri Uribe, Carlos",http://viaf.org/viaf/310558179,310558179,
"Echeverri, Camilo Antonio",https://www.wikidata.org/wiki/Q5826964,,M,Colombia,1827,1887,135797284,Q5826964,"Echeverri, Camilo Antonio",Unbekannt,1827,1887,,,Camilo Antonio Mario Echeverri,male,,,1827-01-01,1887-01-01,"Echeverri, Camilo Antonio, 1827-1887",http://viaf.org/viaf/80254553,80254553,
"Echeverría Rodríguez, Roberto",QeQ Ven.; Sánchez: Diccionario,,M,Colombia,1907,,,,"Echeverría Rodríguez, Roberto",,,,,,"Echeverría Rodríguez, Roberto",,,,,,"Echeverría Rodríguez, Roberto 1907-",http://viaf.org/viaf/31580663,31580663,
"Echeverría, Eduardo",Ospina; Minchero; Sánchez: Diccionario; Ardila/Viscaino; Echavarria,,M,Colombia,1873,1948,,,"Echeverría, Eduardo",,,,,,"Echeverría, Eduardo",,,,,,"Echeverría, Eduardo",,,
"Elejalde Toro, Bernardo",https://d-nb.info/gnd/105724953X,,M,Colombia,1922,,105724953X,,"Elejalde Toro, Bernardo",Unbekannt,1922,,,,"ELEJALDE TORO, BERNARDO",,,,,,"Elejalde Toro, Bernardo 1922-",http://viaf.org/viaf/310559012,310559012,
"Elejalde Toro, Hernando",https://d-nb.info/gnd/1056675683,,M,Colombia,,,1056675683,,"Elejalde Toro, Hernando",Unbekannt,,,,,"ELEJALDE TORO, HERNANDO",,,,,,"Elejalde Toro, Hernando",http://viaf.org/viaf/309779056,309779056,
"Escobar Campuzano, Jesús",Gallo Martínez,,M,Colombia,1852,1924,,,,,,,,,,,,,,,"Escobar Campuzano, Jesús",,,
"Escobar Escobar, Hernán",Gallo Martínez,,M,Colombia,1925,1986,,,,,,,,,,,,,,,"Escobar Escobar, Hernán",http://viaf.org/viaf/9405159477562827990008,9405159477562830000000,
"Escobar G., Carlos J.",https://d-nb.info/gnd/1057613312,,M,Colombia,,,1057613312,,"Escobar G., Carlos J.",Unbekannt,,,,,"ESCOBAR G., CARLOS J.",,,,,,"Escobar G., Carlos J.",http://viaf.org/viaf/310586950,310586950,
"Escobar Ortiz, Mario",Sánchez: Diccionario; Ortega Ricaurte,,M,Colombia,Siglo XX,,1056313870,,"Escobar Ortiz, Mario",Unbekannt,,,,,"Escobar Ortiz, Mario",,,,,,"Escobar Ortiz, Mario",http://viaf.org/viaf/60711424,60711424,
"Escobar Piedrahita, Arcesio",Sánchez: Diccionario Autores Antioqueños,,M,Colombia,1832,1867,,,,,,,,,,,,,,,,,,
"Escobar Roa, Rafael","Minchero Vilasaró, Angel: Diccionario universal de escritores. - San Sebastián : Ideas Hechos, 1957. Sánchez López, Luis María: Diccionario de escritores colombianos. - 2a. ed. - Barcelona : Plaza & Janes, 1982. Echavarría,",,M,Colombia,1879,1954,,,"Escobar, Rafael",,,,,,"Escobar Roa, Rafael",,,,,,"Escobar Roa, Rafael",,,
"Escobar Rojo, Severo",Sánchez: Diccionario; Echevarría,,M,Colombia,1882,1928,,,"Escobar R, Severo",,,,,,"Escobar R, Severo",,,,,,"Escobar R, Severo",,,
"Escobar Sarmiento, Ricardo","Minchero, Echevarría; Caparroso, Carlos Arturo: Antología lírica : 100 poemas colombianos. - 3. ed. - Bogotá : Horizonte, 1945. Nieto Caballero, Luis Eduardo: Colombia joven. - Bogotá : Arboleda & Valencia, 1918. Ardila A., Héctor M.; Viscaino, Inés: Hombres y Mujeres en las Letras de Colombia. - Santa Fé de Bogotá : Colección Aula Abierta. Cooperativa Editorial Magisterio, 1998.",,M,Colombia,1885,1936,,,,,,,,,,,,,,,,,,
"Escobar Uribe, Arturo",http://viaf.org/viaf/466145857056822921453; Gallo Martínez,,M,Colombia,1911,,,,"Escobar Uribe, Arturo",,,,,,"Escobar Uribe, Arturo",,,,,,"Escobar Uribe, Arturo",http://viaf.org/viaf/466145857056822921453,"4,66146E+20",
"Escobar Uribe, Jorge",https://d-nb.info/gnd/1057132020,Claudio de Alas; Otto Alas,M,Colombia,1886,1919,1057132020,,"Escobar Uribe, Jorge",Unbekannt,1886,1919,,,"Escobar Uribe, Jorge",,,,,,"Escobar Uribe, Jorge",http://viaf.org/viaf/38408056,38408056,
